,Calgary_newCases,Central_newCases,Edmont_newCases,North_newCases,South_newCases,Unknown_newCases
2020-03-06,1,0,0,0,0,0
2020-03-09,3,0,3,0,0,0
2020-03-10,6,0,3,0,0,0
2020-03-11,5,1,1,0,0,0
2020-03-12,2,0,0,0,0,0
2020-03-13,8,0,0,0,0,0
2020-03-14,13,0,6,0,0,0
2020-03-15,9,0,1,0,0,0
2020-03-16,15,1,5,2,1,0
2020-03-17,6,1,7,1,0,0
2020-03-18,22,0,3,1,2,0
2020-03-19,13,0,8,7,1,0
2020-03-20,25,2,14,3,2,0
2020-03-21,25,2,6,2,1,0
2020-03-22,29,6,6,2,1,0
2020-03-23,26,13,14,0,0,0
2020-03-24,37,8,14,2,2,0
2020-03-25,49,2,18,2,2,0
2020-03-26,39,4,5,4,0,0
2020-03-27,41,8,20,16,0,0
2020-03-28,32,0,17,4,0,1
2020-03-29,18,0,6,0,0,0
2020-03-30,23,3,18,3,0,0
2020-03-31,6,0,12,1,0,0
